id,text,category
2947909,"1й подъезд, 5 этаж. В коридоре над  висит какой-то провод. Возможно, под напряжением.
Председатель тсж ""Ленинградские Вечера"" отказывается принимать заявку на устранение более полугода.  ",Содержание МКД
2947918,Маленькмй лифт изрисован внутри.,Содержание МКД
2947923,реклама на светофоре,Благоустройство
2947965,"1й подъезд, 5 этаж, квартирный холл. Рааботники тсж ""Ленинградские Вечера"" вкрутили в стену крюк с цепью для хранения личных вещей.
Необходимо убрать цепь, демонтировать крюк и восстановить штукатурный слой стены.
Председатель тсж ""Ленинградские Вечера"" отказывается принимать заявку на устранение более полугода. ",Содержание МКД
2947973,незаконная решетка на фасаде,Нарушение правил пользования общим имуществом
2947980,"2й подъезд, 8 этаж, тамбур с мусоропроводом. Житель квартиры  (председатель тсж) захламляет личными вещами места общего пользования. От вещей исходит неприятный запах.
Обращение уже пятое по счёту. предыдущие № 2786117, №3141552, №3171884, №3213827
Председатель тсж ""Ленинградские Вечера"" отказывается принимать заявку на устранение более полугода. ",Содержание МКД
2947996,"Управляющая компания самовольно вновь установила ограждения виде цепочки, заданную парковку с Жильцов взимается денежные средства￼, таких парковок две,расположены вдоль дома 46,напротив 8 и 10 парадных",Благоустройство
2948002,Низкая температура в 1 парадной,Центральное отопление
2948045,После завершения работ остался брошенным на газоне фрагмент опоры ЛЭП,Благоустройство
2948047,Ямы на дороге.,Благоустройство
2948050,Надписи на остановке.,Благоустройство
2948053,"Явный брак/дефект строительно-отделочных работ нового дома.

Комендантский 69. 16я парадная",Фасад
2948055,Крупный мусор.,Благоустройство
2948060,Ветки лежат на газоне.,Благоустройство
2948064,"Состояние мусорной площадки не отвечает санитарным требованиям. Необходимо:
1. Вывезти автомобильные покрышки и другой крупногабаритный мусор.
2. Мелкий мусор сложить в контейнеры.
3. Убрать листья и жидкую грязь, на которой можно поскользнуться.",Содержание МКД
2948077,Вентиляционные шахты в цоколе прикрыты картонкой на проволоке. Необходима установка решеток по всем периметру дома,Фасад
2948083,Проход к мусорной площадке и сама площадка затоплены водой.,Благоустройство
2948091,мешки на газоне,Благоустройство
2948092,Реклама на столбе.,Благоустройство
2948094,мусор и листва с задней стороны дома.,Благоустройство
2948096,Надписи на знаке.,Благоустройство
2948108,Некачественно оказывается услуга горячего водоснабжения. В ночное время температура воды не поднимается выше 40 градусов. Даже спустя 30 мин пролива.,Водоснабжение
2948109,мешки на газоне,Благоустройство
2948112,не убирается листва на детской площадке,Благоустройство
2948115,не убраны мешки с мусором,Благоустройство
2948123,Реклама на остановке.,Благоустройство
2948131,Реклама на кондиционере.,Благоустройство
2948134,"После демонтажа столба крепления трамвайных проводов, остались  части торчещие из земли (фундамент). Есть возможность травмирование человека об него. (можно споткнуться.)  предвгаю огородить строение или демонтировать до конца.",Благоустройство
2948147,Самовольно установлена решетка на окне на лицевом фасаде. Прошу демонтировать.,Нарушение правил пользования общим имуществом
2948148,"Добрый день!
Не уверен, куда обращаться. Раньше провода были прикрыты и на других этажах сделано аккуратно. Но кто-то сломал и теперь у нас открытая проводка.
Прошу направить в ответственную организацию. Спасибо
парадная 8, этаж 3",Содержание МКД
2948149,Реклама на трубе.,Благоустройство
2948151,Самовольно установлена решетка на окне на лицевом фасаде. Прошу демонтировать.,Нарушение правил пользования общим имуществом
2948153,Самовольно установлена решетка на окне на лицевом фасаде. Прошу демонтировать.,Нарушение правил пользования общим имуществом
2948162,Самовольно установлены рольставни на окне на лицевом фасаде. Прошу демонтировать.,Нарушение правил пользования общим имуществом
2948178,Надписи на знаке.,Благоустройство
2948181,ветки на газоне,Благоустройство
2948192,Надписи на крыльце.,Благоустройство
2948195,мусор вне баков,Содержание МКД
2948199,граффити на здании,Благоустройство
2948201,Надписи на дверях.,Благоустройство
2948226,Мусор вокруг 2 подъезда,Благоустройство
2948230,не очищена урна,Благоустройство
2948270,Надписи на стене.,Благоустройство
2948284,"16.10.2020 неустановленные лица высыпали кучу щебня на территории двора между домами 3 и 5 по Днепропетровской ул. Эта куча заблокировала проезд к дому 5 и заняла парковочные места во внутридворовом пространстве. Там, где могли запарковаться 4 машины, не мешая проезду, теперь с трудом могут разъехаться 2 машины. Какие-то рабочие таскают щебень тележками в другой двор по Днепропетровской ул. Т.е. щебень не имеет отношения ни к дому 3, ни к дому 5. Прошу освободить двор от строительного мусора.",Благоустройство
2948306,Граффити на пандусе на стене Наличная 32.к1,Благоустройство
2948308,Граффити с предложением нелегальной деятельности на фасаде дома у 4 парадной справа.,Благоустройство
2948333,"Здравствуйте!
Просьба восстановить освещение в парадной и по правой лестнице в доме по адресу: СПб, ул. Жуковского, д. 5, подъезд 3 (вход с улицы).",Содержание МКД
2948342,"В арке дома дырка в асфальте, которая за зиму превратится в яму.",Благоустройство
